"count","results__id","results__challenge_id","results__type","results__content","results__data"
"","143","120","static","flag{Fri, 12 Aug 2005 17:20:27}","case_insensitive"
"","144","120","static","flag{Friday, 12 August 2005 17:20:27}",""
"","145","120","static","flag{Friday,12 Aug 2005 17:20:27}","case_insensitive"
"","146","120","static","flag{Friday,12 Aug 2005 17:20:27}","case_insensitive"
"","147","119","static","flag{Lida Douglas-Lida.Douglas@uvm.edu@uvm.edu}",""
"","149","117","static","flag{606.eml 1695.eml 1783.eml 791.eml}",""
"","150","117","static","flag{606.eml 791.eml 1695.eml 1783.eml}",""
"","151","117","static","flag{606.eml 791.eml 1783.eml 1695.eml}",""
"","152","117","static","flag{606.eml 1783.eml 1695.eml 791.eml}",""
"","153","117","static","flag{606.eml 1783.eml 791.eml 1695.eml}",""
"","154","117","static","flag{1695.eml 791.eml 1783.eml 606.eml}",""
"","155","117","static","flag{1695.eml 791.eml 606.eml 1783.eml}",""
"","156","117","static","flag{1695.eml 606.eml 1783.eml 791.eml}",""
"","157","117","static","flag{1695.eml 606.eml 791.eml 1783.eml}",""
"","158","117","static","flag{1695.eml 1783.eml 606.eml 791.eml}",""
"","159","117","static","flag{1695.eml 1783.eml 791.eml 606.eml}",""
"","160","117","static","flag{791.eml 1783.eml 606.eml 1695.eml}",""
"","161","117","static","flag{791.eml 1783.eml 1695.eml 606.eml}",""
"","162","117","static","flag{791.eml 1695.eml 1783.eml 606.eml}",""
"","163","117","static","flag{791.eml 1695.eml 606.eml 1783.eml}",""
"","164","117","static","flag{791.eml 606.eml 1695.eml 1783.eml}",""
"","165","117","static","flag{791.eml 606.eml 1783.eml 1695.eml}",""
"","166","28","static","flag{6° 13' 25.40"" N 75° 35' 45.30"" W}",""
"","167","28","static","flag{6°13'25.40""N 75°35'45.30""W}",""
"","169","117","static","flag{1783.eml 606.eml 1695.eml 791.eml}",""
"","170","117","static","flag{1783.eml 606.eml 791.eml 1695.eml}",""
"","171","117","static","flag{1783.eml 791.eml 606.eml 1695.eml}",""
"","172","117","static","flag{1783.eml 791.eml 1695.eml 606.eml}",""
"","173","117","static","flag{1783.eml 791.eml 1695.eml 606.eml}",""
"","174","117","static","flag{1783.eml 1695.eml 791.eml 606.eml}",""
"","175","117","static","flag{1783.eml 1695.eml 606.eml 791.eml}",""
"","178","117","static","flag{606.eml}",""
"","179","141","static","flag{1695.eml}",""
"","180","142","static","flag{791.eml}",""
"","181","143","static","flag{1783.eml}",""
"","182","28","static","flag{6° 13' 25.40"" N, 75° 35' 45.30"" W}",""
"","183","28","static","flag{6 deg 13' 25.40"" N, 75 deg 35' 45.30"" W}",""
"","184","48","static","flag{calle76,carrera20}",""
"","185","49","static","flag{wacandaburger}",""
"","186","49","static","flag{wacanda_burger}",""
"","187","49","static","flag{wacanda burger}",""
"","188","48","static","flag{calle76 , carrera20}",""
"","189","48","static","flag{calle76, carrera20}",""
"","190","47","regex","flag{zonabatallon}",""
"","191","47","static","flag{zona batallon}",""
"","192","46","static","flag{portal de milan}",""
"","193","46","static","flag{portaldemilan}",""
"","194","45","static","flag{volver al futuro}",""
"","195","45","static","flag{volveralfuturo}",""
"","196","45","static","flag{volveralfuturo}",""
"","197","44","static","flag{la estrella}",""
"","198","44","static","flag{laestrella}",""
"","199","44","static","flag{estrella}",""
"","200","43","static","flag{chipre}",""
"","201","42","static","flag{info}",""
"","202","41","static","flag{catedral de cuenca}","case_insensitive"
"","203","41","static","flag{catedralcuenca}","case_insensitive"
"","204","41","static","flag{catedral cuenca}","case_insensitive"
"","205","40","static","flag{vlc}",""
"","206","40","static","flag{vlc}",""
"","207","39","static","flag{media}",""
"","208","49","static","flag{wakanda burger}",""
"","209","49","static","flag{wakandaburger}",""
"","210","42","static","flag{haycomidaenelpaisdelapanteranegra,5.048173,-75.479317}",""
"","211","44","static","flag{nuestra señora de los dolores}",""
"","212","44","static","flag{nuestraseñoradelosdolores}",""
"","213","28","static","flag{6°13'25.4""N 75°35'45.3""W}",""
"","214","28","static","flag{6 deg 13' 25.4"" N 75 deg 35' 45.3"" W}",""
"","215","28","static","flag{6° 13' 25.4"" N 75° 35' 45.3"" W}",""
"","216","28","static","flag{6° 13' 25.4"" N, 75° 35' 45.3"" W}",""
"","217","28","static","flag{6 deg 13' 25.4"" N, 75 deg 35' 45.3"" W}",""
"","219","41","static","flag{catedraldecuenca}","case_insensitive"
"","222","84","static","flag{Ganaste_un_tampico}",""
"","223","84","static","flag{ganaste_un_tampico}",""
"","224","84","static","flag{ganaste un tampico}",""
"","225","84","static","flag{Ganaste un tampico}",""
